degree,begin,end,university,city,region,country,honors,gpa,advisor,co-advisor,notes
PhD Psychology,01/09/10,01/09/13,University of Warwick,Coventry,West Midlands,UK,,,,Prof. Gordon D. A. Brown, Supervised by Professor Gordon D. A. Brown
BSc(Hons) Psychology,01/09/07,01/09/10,University of Warwick,Coventry,West Midlands,UK,02:01,,,,
