year,status, body, title
2020,awarded,University of Warwick, Collaborator  COVID and the social life of testing
2019,awarded,"Alan Turing Institute, Strategic Priorities Fund; Tools, Practice and Systems theme", Co-Investigator  What Aren't You Seeing? (WAYS)
2018,awarded,"Alan Turing Institute, Strategic Priorities Fund; Tools, Practice and Systems theme", Co-Investigator  Visual Diagnostics for Markov Chain Monte Carlo - BackFillz.R
